,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,90,US,1584401193,45,42.1,-79.24,46.99,13.87
1,buala,64,SB,1584401420,67,-8.14,159.59,84.6,5.35
2,castro,50,BR,1584401420,97,-24.79,-50.01,66.02,7.36
3,pangnirtung,90,CA,1584401420,76,66.15,-65.71,-4.0,4.7
4,bredasdorp,40,ZA,1584401420,77,-34.53,20.04,66.99,16.11
5,ilulissat,99,GL,1584401421,53,69.22,-51.1,-5.8,14.99
6,bacolod,43,PH,1584401392,53,10.67,122.95,79.34,1.48
7,georgetown,20,MY,1584401421,58,5.41,100.34,82.4,9.17
8,onguday,100,RU,1584401421,56,50.75,86.15,25.41,4.52
9,lompoc,90,US,1584401421,81,34.64,-120.46,50.0,10.63
10,severo-kurilsk,97,RU,1584401421,81,50.68,156.12,22.42,3.0
11,barrow,90,US,1584401421,92,71.29,-156.79,10.4,8.05
12,port alfred,19,ZA,1584401421,84,-33.59,26.89,63.0,1.01
13,port elizabeth,57,ZA,1584401421,77,-33.92,25.57,66.2,21.92
14,kill,100,IE,1584401421,97,52.18,-7.33,50.0,1.01
15,kapaa,90,US,1584401421,100,22.08,-159.32,71.6,14.99
16,east london,57,ZA,1584401421,73,-33.02,27.91,68.36,20.8
17,gorontalo,51,ID,1584401178,68,0.54,123.06,79.3,3.31
18,port-cartier,20,CA,1584401422,56,50.03,-66.87,15.8,4.7
19,mataura,71,NZ,1584401422,77,-46.19,168.86,54.0,1.99
20,thompson,75,CA,1584401422,78,55.74,-97.86,12.2,10.29
21,vestmannaeyjar,100,IS,1584401422,81,63.44,-20.27,40.41,19.13
22,banda aceh,100,ID,1584401422,89,5.56,95.32,75.11,5.01
23,coquimbo,75,CL,1584401422,82,-29.95,-71.34,60.8,8.05
24,ushuaia,20,AR,1584401422,61,-54.8,-68.3,48.2,32.21
25,hambantota,60,LK,1584401422,82,6.12,81.12,80.69,20.54
26,naryan-mar,100,RU,1584401422,93,67.67,53.09,29.98,22.3
27,hasaki,20,JP,1584401423,44,35.73,140.83,43.0,2.24
28,kavieng,77,PG,1584401423,72,-2.57,150.8,84.4,8.46
29,asfi,0,MA,1584401423,82,32.3,-9.24,46.4,8.63
30,san quintin,78,MX,1584401423,63,30.48,-115.95,59.05,8.03
31,luena,95,AO,1584401423,91,-11.78,19.92,62.71,2.57
32,livingstonia,100,MW,1584401423,96,-10.61,34.11,60.37,4.07
33,saint-philippe,75,RE,1584401423,88,-21.36,55.77,75.2,6.93
34,qaanaaq,44,GL,1584401423,46,77.48,-69.36,-5.17,7.14
35,goderich,100,CA,1584401423,87,43.75,-81.72,39.99,1.01
36,yellowknife,75,CA,1584401201,48,62.46,-114.35,-4.0,8.05
37,noumea,75,NC,1584401423,69,-22.28,166.46,82.4,8.05
38,soyo,100,AO,1584401424,86,-6.13,12.37,79.79,2.93
39,zabol,58,AF,1584401424,70,32.25,67.25,44.38,9.75
40,punta arenas,40,CL,1584401207,50,-53.15,-70.92,51.8,28.86
41,yantal,100,RU,1584401424,92,56.85,105.25,27.09,16.35
42,beringovskiy,100,RU,1584401424,96,63.05,179.32,31.42,21.92
43,peleduy,100,RU,1584401424,97,59.63,112.74,26.62,6.35
44,bengkulu,100,ID,1584401210,83,-3.8,102.27,76.3,2.75
45,chokurdakh,0,RU,1584401424,87,70.63,147.92,-12.95,1.74
46,guerrero negro,39,MX,1584401274,64,27.98,-114.06,62.46,17.47
47,urengoy,95,RU,1584401424,94,65.97,78.37,4.24,18.7
48,bluff,80,NZ,1584401425,77,-46.6,168.33,54.0,1.99
49,hobart,73,AU,1584401335,58,-42.88,147.33,66.0,12.75
50,khuzdar,16,PK,1584401425,47,27.74,66.64,53.8,2.04
51,saskylakh,67,RU,1584401425,93,71.92,114.08,-31.09,13.6
52,jumla,0,NP,1584401425,35,29.27,82.18,28.4,5.91
53,anadyr,40,RU,1584401425,92,64.75,177.48,28.4,35.79
54,wattegama,34,LK,1584401425,96,6.8,81.48,72.91,4.5
55,tonantins,100,BR,1584401425,97,-2.87,-67.8,75.24,1.39
56,nikolskoye,42,RU,1584401425,88,59.7,30.79,32.0,4.47
57,saint-leu,75,RE,1584401426,88,-21.15,55.28,75.2,6.93
58,nouadhibou,70,MR,1584401426,72,20.93,-17.03,64.4,21.92
59,saint george,1,US,1584401166,45,37.1,-113.58,66.99,13.87
60,sabha,0,LY,1584401426,32,27.04,14.43,64.63,12.48
61,waipawa,100,NZ,1584401426,58,-41.41,175.52,57.2,33.33
62,victoria point,20,AU,1584401426,53,-27.58,153.3,78.01,12.75
63,brae,98,GB,1584401426,87,60.4,-1.35,44.6,21.92
64,abu dhabi,0,AE,1584401426,73,24.47,54.37,75.0,4.7
65,kaitangata,100,NZ,1584401426,58,-46.28,169.85,50.95,8.19
66,albany,1,US,1584401419,26,42.6,-73.97,42.8,6.93
67,puerto ayora,20,EC,1584401426,66,-0.74,-90.35,84.2,9.17
68,itaituba,55,BR,1584401427,78,-4.28,-55.98,77.65,1.7
69,rikitea,56,PF,1584401427,79,-23.12,-134.97,81.07,12.33
70,cherskiy,99,RU,1584401427,81,68.75,161.3,21.96,19.64
71,hovd,100,MN,1584401330,24,48.01,91.64,30.87,7.2
72,butaritari,82,KI,1584401427,77,3.07,172.79,83.89,11.95
73,maraa,100,BR,1584401427,98,-1.83,-65.37,75.58,1.68
74,busselton,6,AU,1584401427,66,-33.65,115.33,64.99,17.65
75,avarua,100,CK,1584401428,74,-21.21,-159.78,84.2,14.99
76,syedove,0,UA,1584401428,51,47.08,38.16,37.47,6.58
77,bethel,90,US,1584401303,64,41.37,-73.41,41.0,10.29
78,meru,71,KE,1584401428,86,0.05,37.66,50.2,3.62
79,kungurtug,100,RU,1584401428,70,50.6,97.52,19.06,1.32
80,karema,99,TZ,1584401429,81,-6.82,30.44,74.17,3.29
81,lucea,20,JM,1584401429,57,18.45,-78.17,80.6,14.99
82,alofi,75,NU,1584401264,74,-19.06,-169.92,86.0,8.05
83,lawrenceburg,90,US,1584401429,70,38.04,-84.9,48.2,4.7
84,strelka,100,RU,1584401430,88,58.07,93.03,17.47,15.68
